iso,name,decimal,percent,year
AFG,Afghanistan,2.88,0.00,2019
ALB,Albania,0.02,0.00,2019
DZA,Algeria,0.94,0.01,2019
ASM,American Samoa,0.00,0.00,2019
AGO,Angola,0.16,0.00,2019
ATG,Antigua and Barbuda,1.90,0.00,2019
ARG,Argentina,0.09,1.69,2019
ARM,Armenia,0.05,0.02,2019
ABW,Aruba,0.98,13.13,2019
AUS,Australia,6.79,7.91,2019
AUT,Austria,2.00,10.71,2019
AZE,Azerbaijan,0.20,0.12,2019
BHS,Bahamas,0.12,0.00,2019
BHR,Bahrain,0.03,0.00,2019
BGD,Bangladesh,0.75,0.01,2019
BRB,Barbados,3.38,0.00,2019
BLR,Belarus,0.31,0.32,2019
BEL,Belgium,4.29,10.33,2019
BLZ,Belize,1.20,0.00,2019
BEN,Benin,1.61,0.00,2019
BMU,Bermuda,0.00,0.00,2019
BTN,Bhutan,0.01,0.01,2019
BOL,Bolivia,0.11,0.74,2019
BIH,Bosnia and Herzegovina,0.14,0.01,2019
BWA,Botswana,0.07,0.00,2019
BRA,Brazil,0.98,9.27,2019
VGB,British Virgin Islands,0.16,0.52,2019
BRN,Brunei,0.05,0.00,2019
BGR,Bulgaria,3.14,2.96,2019
BFA,Burkina Faso,3.01,0.00,2019
BDI,Burundi,3.82,0.00,2019
KHM,Cambodia,0.08,0.00,2019
CMR,Cameroon,0.21,0.00,2019
CAN,Canada,0.68,4.79,2019
CPV,Cape Verde,1.58,16.18,2019
CYM,Cayman Islands,2.80,0.00,2019
CAF,Central African Republic,0.28,0.00,2019
TCD,Chad,0.13,5.12,2019
CHL,Chile,7.42,5.47,2019
CHN,China,3.06,5.54,2019
COL,Colombia,0.02,0.00,2019
COM,Comoros,0.00,0.00,2019
COG,Congo,0.03,0.00,2019
COK,Cook Islands,17.54,0.00,2019
CRI,Costa Rica,0.04,12.13,2019
CIV,Cote d'Ivoire,0.08,0.00,2019
HRV,Croatia,0.66,10.05,2019
CUB,Cuba,0.36,0.10,2019
CYP,Cyprus,3.44,4.23,2019
CZE,Czech Republic,2.66,0.83,2019
COD,Democratic Republic of Congo,0.09,0.00,2019
DNK,Denmark,3.07,52.30,2019
DJI,Djibouti,0.13,0.00,2019
DMA,Dominica,0.52,1.30,2019
DOM,Dominican Republic,0.98,2.37,2019
ECU,Ecuador,0.12,0.21,2019
EGY,Egypt,2.00,2.19,2019
SLV,El Salvador,4.74,0.00,2019
GNQ,Equatorial Guinea,0.00,0.00,2019
ERI,Eritrea,0.49,0.49,2019
EST,Estonia,0.04,8.94,2019
ETH,Ethiopia,0.16,6.01,2019
FLK,Falkland Islands,0.00,54.00,2019
FJI,Fiji,0.93,0.06,2019
FIN,Finland,0.07,9.83,2019
FRA,France,2.16,6.03,2019
GUF,French Guiana,4.31,0.00,2019
PYF,French Polynesia,5.98,0.05,2019
GAB,Gabon,0.09,0.00,2019
GMB,Gambia,0.97,0.03,2019
GEO,Georgia,0.00,0.95,2019
DEU,Germany,7.70,20.83,2019
GHA,Ghana,0.25,0.00,2019
GIB,Gibraltar,0.00,0.00,2019
GRC,Greece,7.61,13.65,2019
GRL,Greenland,0.00,0.00,2019
GRD,Grenada,1.67,0.46,2019
GLP,Guadeloupe,5.39,3.07,2019
GUM,Guam,4.01,0.00,2019
GTM,Guatemala,1.77,2.09,2019
GIN,Guinea,1.16,0.00,2019
GNB,Guinea-Bissau,2.75,0.00,2019
GUY,Guyana,1.18,0.01,2019
HTI,Haiti,0.03,0.00,2019
HND,Honduras,11.75,5.90,2019
HKG,Hong Kong,0.00,0.01,2019
HUN,Hungary,1.06,2.26,2019
ISL,Iceland,0.00,0.04,2019
IND,India,3.36,4.59,2019
IDN,Indonesia,0.04,0.08,2019
IRN,Iran,0.18,0.26,2019
IRQ,Iraq,0.06,0.00,2019
IRL,Ireland,0.04,30.03,2019
ISR,Israel,2.91,0.36,2019
ITA,Italy,8.48,7.23,2019
JAM,Jamaica,1.38,8.09,2019
